altitude
202.24
202.24
202.24
202.24
202.24
202.24
202.24
202.24
202.29
202.24
202.24
202.24
202.24
202.24
202.29
202.29
202.29
202.29
202.29
202.29
202.29
202.29
202.29
202.29
202.29
202.29
202.29
202.29
202.29
202.29
202.29
202.24
202.29
202.24
202.24
202.24
202.24
202.24
202.18
202.24
202.24
202.24
202.11
202.11
202.18
202.18
202.18
202.13
202.13
202.13
202.18
202.18
202.13
202.13
202.13
202.13
202.13
202.13
202.13
202.13
202.13
202.13
202.07
202.13
202.07
202.07
202.07
202.07
202.00
202.00
202.00
202.00
202.06
202.06
202.06
202.06
202.11
202.06
202.06
202.11
202.06
202.06
202.06
202.06
202.11
202.11
202.11
202.11
202.11
202.11
202.11
202.11
202.11
202.17
202.17
202.17
202.17
202.17
202.17
202.17
202.11
202.11
202.11
202.11
202.11
202.11
202.11
202.11
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.06
202.00
202.06
202.06
202.06
202.11
202.06
202.11
202.11
202.11
202.11
202.17
202.24
202.17
202.17
202.22
202.22
202.22
202.22
202.22
202.29
202.29
202.28
202.29
202.22
202.35
202.35
202.28
202.35
202.28
202.28
202.22
202.22
202.22
202.22
202.28
202.35
202.28
202.35
202.22
202.29
202.28
202.28
202.28
202.28
202.28
202.28
202.33
202.28
202.28
202.28
202.28
202.28
202.22
202.22
202.22
202.22
202.28
202.28
202.28
202.28
202.20
202.22
202.22
202.22
202.22
202.22
202.22
202.22
202.22
202.22
202.22
202.15
202.28
202.22
202.22
202.22
202.22
202.22
202.22
202.22
202.17
202.17
202.17
202.17
202.17
202.17
202.17
202.17
202.22
202.22
202.22
202.22
202.22
202.22
202.28
202.28
202.28
202.28
202.28
202.28
202.28
202.28
202.28
202.28
202.28
202.28
202.33
202.33
202.26
202.26
202.31
202.38
202.44
202.44
202.49
202.49
202.49
202.49
202.49
202.49
202.42
202.42
202.42
202.42
202.42
202.42
202.42
202.42
202.42
202.42
202.42
202.42
202.42
202.47
202.42
202.42
202.42
202.35
202.35
202.42
202.42
202.42
202.42
202.42
202.47
202.47
202.47
202.53
202.53
202.53
202.53
202.53
202.53
202.53
202.53
202.53
202.58
202.53
202.53
202.53
202.53
202.53
202.53
202.53
202.53
202.53
202.53
202.53
202.53
202.53
202.46
202.53
202.46
202.51
202.46
202.46
202.53
202.46
202.46
202.46
202.46
202.51
202.51
202.51
202.51
202.51
202.51
202.51
202.51
202.51
202.51
202.51
202.46
202.51
202.46
202.46
202.46
202.46
202.51
202.46
202.46
202.46
202.46
202.46
202.46
202.46
202.51
202.51
202.51
202.44
202.44
202.44
202.44
202.44
202.44
202.44
202.44
202.44
202.39
202.39
202.44
202.44
202.39
202.39
202.39
202.39
202.39
202.33
202.33
202.33
202.28
202.28
202.28
