P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites, q_w, q_x, q_y, q_z
-0.11,-0.01,-0.02,1016.471,-0.000087,-0.004262,-0.000355,0.000000,0.000000,0.00,0,0,0.347,0.004,-0.027,-0.937
-0.11,-0.01,-0.02,1016.471,-0.004919,-0.002412,0.005059,0.000000,0.000000,0.00,0,0,0.347,0.004,-0.027,-0.938
-0.10,-0.01,-0.01,1016.469,0.001535,0.005433,0.006074,0.000000,0.000000,0.00,0,0,0.347,0.004,-0.027,-0.938
-0.10,-0.01,-0.01,1016.469,0.002366,0.002630,-0.011864,0.000000,0.000000,0.00,0,0,0.347,0.004,-0.027,-0.938
-0.10,-0.01,0.03,1016.464,0.000776,0.000410,-0.003981,0.000000,0.000000,0.00,0,0,0.346,0.004,-0.027,-0.938
-0.10,-0.01,0.03,1016.464,-0.007930,0.003745,-0.010236,0.000000,0.000000,0.00,0,0,0.346,0.004,-0.027,-0.938
-0.10,-0.01,0.03,1016.464,-0.007415,0.005508,0.002655,0.000000,0.000000,0.00,0,0,0.346,0.004,-0.027,-0.938
-0.10,-0.01,0.03,1016.464,-0.001505,0.001272,0.001305,0.000000,0.000000,0.00,0,0,0.346,0.004,-0.027,-0.938
-0.09,-0.01,0.05,1016.463,0.001509,-0.005292,-0.000991,0.000000,0.000000,0.00,0,0,0.346,0.004,-0.027,-0.938
-0.09,-0.01,0.05,1016.463,-0.004518,0.004912,0.000802,0.000000,0.000000,0.00,0,0,0.346,0.004,-0.027,-0.938
-0.09,-0.01,0.03,1016.464,-0.004417,0.005817,-0.005352,0.000000,0.000000,0.00,0,0,0.346,0.004,-0.027,-0.938
-0.09,-0.01,0.03,1016.464,-0.003930,0.002785,0.003367,0.000000,0.000000,0.00,0,0,0.346,0.004,-0.027,-0.938
-0.09,-0.01,-0.04,1016.473,0.002914,0.001101,0.001425,0.000000,0.000000,0.00,0,0,0.346,0.004,-0.027,-0.938
-0.09,-0.01,-0.04,1016.473,0.004809,-0.003690,0.005861,0.000000,0.000000,0.00,0,0,0.345,0.004,-0.027,-0.938
-0.09,-0.01,-0.09,1016.479,-0.002136,-0.000565,-0.002537,0.000000,0.000000,0.00,0,0,0.345,0.004,-0.027,-0.938
-0.09,-0.01,-0.09,1016.479,-0.004186,0.001181,0.001727,0.000000,0.000000,0.00,0,0,0.345,0.004,-0.027,-0.938
-0.09,-0.01,-0.07,1016.476,-0.003220,0.001957,-0.004639,0.000000,0.000000,0.00,0,0,0.345,0.004,-0.027,-0.938
-0.09,-0.01,-0.07,1016.476,-0.012155,0.001945,-0.005603,0.000000,0.000000,0.00,0,0,0.345,0.004,-0.027,-0.938
-0.09,-0.01,-0.04,1016.473,0.000806,-0.002075,0.005448,0.000000,0.000000,0.00,0,0,0.345,0.004,-0.027,-0.938
-0.09,-0.00,-0.04,1016.473,0.001260,-0.003671,0.008960,0.000000,0.000000,0.00,0,0,0.345,0.004,-0.027,-0.938
-0.09,-0.00,-0.01,1016.469,-0.002385,-0.004210,0.001310,0.000000,0.000000,0.00,0,0,0.345,0.004,-0.027,-0.938
-0.08,-0.00,-0.01,1016.469,-0.001120,-0.003519,-0.004314,0.000000,0.000000,0.00,0,0,0.345,0.004,-0.027,-0.938
-0.08,-0.00,0.03,1016.465,-0.004354,-0.000417,-0.003079,0.000000,0.000000,0.00,0,0,0.344,0.004,-0.027,-0.938
-0.08,-0.00,0.03,1016.465,-0.004384,-0.000652,0.000849,0.000000,0.000000,0.00,0,0,0.344,0.004,-0.027,-0.938
-0.08,-0.00,0.06,1016.461,0.002784,0.002213,0.002858,0.000000,0.000000,0.00,0,0,0.344,0.004,-0.027,-0.939
-0.08,0.00,0.06,1016.461,0.001218,-0.002659,0.006966,0.000000,0.000000,0.00,0,0,0.344,0.004,-0.027,-0.939
-0.08,-0.00,0.04,1016.463,-0.004360,0.006743,-0.008553,0.000000,0.000000,0.00,0,0,0.344,0.004,-0.027,-0.939
-0.07,-0.00,0.04,1016.463,-0.007265,-0.000707,-0.006311,0.000000,0.000000,0.00,0,0,0.344,0.004,-0.027,-0.939
-0.07,-0.00,0.00,1016.463,-0.004911,-0.004226,-0.007303,0.000000,0.000000,0.00,0,0,0.344,0.004,-0.027,-0.939
-0.07,-0.00,0.00,1016.468,-0.001305,0.009846,0.004332,0.000000,0.000000,0.00,0,0,0.344,0.004,-0.027,-0.939
