P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites, q_w, q_x, q_y, q_z
0.00,0.44,-0.155258,1004.868896,0.027990,-0.022512,0.033718,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.00,0.44,-0.155258,1004.868896,0.031828,-0.010561,0.038641,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.00,0.43,-0.168564,1004.870483,0.036535,-0.022212,0.033891,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.00,0.43,-0.168564,1004.870483,0.033155,-0.018612,0.033904,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.00,0.43,-0.182373,1004.872131,0.034339,-0.020791,0.033536,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.00,0.42,-0.182373,1004.872131,0.034084,-0.016019,0.038116,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
-0.01,0.41,-0.307236,1004.887024,0.033245,-0.017045,0.036404,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
-0.01,0.40,-0.307236,1004.887024,0.032870,-0.022754,0.037927,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
-0.01,0.40,-0.155258,1004.868896,0.026107,-0.014508,0.040929,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
-0.01,0.40,-0.155258,1004.868896,0.038309,-0.014922,0.034088,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
-0.01,0.40,-0.114822,1004.864014,0.032794,-0.015129,0.037962,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
-0.01,0.40,-0.114822,1004.864014,0.035186,-0.016855,0.040009,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
-0.00,0.40,-0.073380,1004.859070,0.033067,-0.018712,0.032446,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.00,0.40,-0.073380,1004.859070,0.036302,-0.016981,0.031159,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.01,0.41,-0.032944,1004.854248,0.032561,-0.018814,0.037839,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.01,0.41,-0.032944,1004.854248,0.036700,-0.014647,0.036609,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.01,0.41,-0.198746,1004.874084,0.037366,-0.022269,0.031174,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.01,0.40,-0.198746,1004.874084,0.033956,-0.017049,0.035649,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.01,0.40,-0.141434,1004.867249,0.036038,-0.013239,0.033751,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.01,0.40,-0.141434,1004.867249,0.034316,-0.017560,0.037576,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.01,0.40,-0.043182,1004.855469,0.037127,-0.021087,0.028050,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.02,0.40,-0.043182,1004.855469,0.040103,-0.018939,0.038770,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.02,0.40,-0.101013,1004.862366,0.034049,-0.018936,0.038517,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.02,0.40,-0.101013,1004.862366,0.039517,-0.014964,0.029159,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.02,0.40,-0.101013,1004.862366,0.030727,-0.011338,0.046987,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.02,0.40,-0.185440,1004.872498,0.038676,-0.014132,0.041202,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.02,0.39,-0.185440,1004.872498,0.035156,-0.017433,0.037551,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.02,0.39,-0.114822,1004.864014,0.030219,-0.023039,0.036073,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
0.02,0.39,-0.114822,1004.864014,0.034016,-0.019965,0.032616,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0,1.00,0.02,0.02,-0.03
