P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites, q_w, q_x, q_y, q_z
nan,nan,-1.661163,1008.015015,0.003245,0.005469,0.042278,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.613190,1008.009277,-0.001117,-0.002945,0.039623,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.613190,1008.009277,-0.001339,0.000663,0.043784,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.573380,1008.004517,-0.000138,0.003354,0.039625,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.573380,1008.004517,0.009906,0.002347,0.037558,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.528976,1007.999146,0.002930,0.006264,0.042283,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.528976,1007.999146,0.003515,0.002800,0.044711,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.444748,1007.989075,0.000243,0.001159,0.041569,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.444748,1007.989075,-0.002684,0.001702,0.037208,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.430969,1007.987427,-0.000087,0.001933,0.038156,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.430969,1007.987427,-0.001380,-0.003770,0.039869,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.542236,1008.000793,0.003035,0.003515,0.034706,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.542236,1008.000793,0.009279,-0.008045,0.043160,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.555008,1008.002319,0.001146,0.007889,0.036445,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.555008,1008.002319,0.003755,-0.001042,0.046897,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.586655,1008.006104,0.000882,-0.001065,0.043022,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.586655,1008.006104,0.004261,-0.004341,0.043710,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.573380,1008.006104,0.004600,0.003231,0.045188,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.573380,1008.004517,0.000344,0.003543,0.041085,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.573380,1008.004517,0.001595,0.000497,0.042774,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.533569,1007.999695,0.001569,-0.001267,0.039352,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.533569,1007.999695,-0.001036,0.003131,0.043540,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.647903,1008.013428,-0.001208,0.003448,0.039881,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.647903,1008.013428,-0.002935,0.002650,0.039654,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.673935,1008.016541,0.002047,-0.003405,0.041783,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.673935,1008.016541,-0.002907,-0.000919,0.041354,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.661163,1008.015015,0.004104,-0.000065,0.037617,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.661163,1008.015015,0.001727,0.005756,0.043518,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.687195,1008.018127,0.002866,-0.003911,0.044457,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.687195,1008.018127,0.001907,0.001911,0.042773,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.673935,1008.016541,0.004104,-0.001222,0.045915,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.673935,1008.016541,0.002651,0.001192,0.038857,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.705582,1008.020325,0.009087,0.000932,0.035368,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.705582,1008.020325,0.002500,-0.001814,0.035432,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.679550,1008.017212,0.005196,0.000374,0.044442,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.679550,1008.017212,-0.000172,-0.003327,0.037899,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.692307,1008.018738,-0.002270,0.000939,0.040129,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.692307,1008.018738,0.002593,-0.001818,0.039582,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.594299,1008.007019,0.005871,-0.000189,0.045655,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.594299,1008.007019,0.001410,0.001280,0.041312,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.581543,1008.005493,0.003721,-0.003392,0.047134,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.581543,1008.005493,0.006781,-0.001955,0.039292,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.567764,1008.003845,0.000670,-0.002294,0.044728,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.567764,1008.003845,-0.001277,-0.000152,0.039872,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.553986,1008.002197,-0.000386,-0.001548,0.039859,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
nan,nan,-1.553986,1008.002197,0.002981,0.002827,0.031044,49.2467079163,-123.2301483154,75.099998,LOCKED,11,0.13,0.01,-0.00,0.99
