type	time	latitude	longitude	altitude (m)	speed (km/h)	course	sat	hdop	eos	name
T	2023-12-08 00:23:22	49.251312833	-123.236633667	85.9	29.5	299.5	8	1.10		
T	2023-12-08 00:23:22.2	49.251319333	-123.236654167	85.8	29.3	299.2	8	1.10		
T	2023-12-08 00:23:22.4	49.251326333	-123.236674167	85.7	29.3	299.2	9	1.10		
T	2023-12-08 00:23:22.6	49.251333833	-123.236694000	85.7	29.6	299.1	9	1.10		
T	2023-12-08 00:23:22.8	49.251340667	-123.236714333	85.9	29.4	298.9	9	1.10		
T	2023-12-08 00:23:23	49.251347167	-123.236734333	85.9	29.4	298.8	9	1.10		
T	2023-12-08 00:23:23.2	49.251354000	-123.236753833	86.1	29.2	299.4	9	1.10		
T	2023-12-08 00:23:23.4	49.251360333	-123.236774167	86.2	29.1	298.3	9	1.10		
T	2023-12-08 00:23:23.6	49.251367167	-123.236793833	86.2	29.2	298.6	8	1.10		
T	2023-12-08 00:23:23.8	49.251373167	-123.236814000	86.4	29.1	297.7	8	1.10		
T	2023-12-08 00:23:24	49.251379333	-123.236834167	86.5	29.2	298.0	8	1.10		
T	2023-12-08 00:23:24.2	49.251385167	-123.236854333	86.7	28.9	297.4	8	1.10		
T	2023-12-08 00:23:24.4	49.251391667	-123.236874833	86.5	28.9	297.5	8	1.10		
T	2023-12-08 00:23:24.6	49.251398167	-123.236894500	86.3	28.8	297.5	8	1.10		
T	2023-12-08 00:23:24.8	49.251404333	-123.236914333	86.3	28.7	297.5	8	1.10		
T	2023-12-08 00:23:25	49.251410167	-123.236934000	86.2	28.5	297.3	8	1.10		
T	2023-12-08 00:23:25.2	49.251416667	-123.236954167	86.2	28.6	297.1	8	1.10		
T	2023-12-08 00:23:25.4	49.251423167	-123.236973667	86.2	28.1	297.1	8	1.10		
T	2023-12-08 00:23:25.6	49.251429667	-123.236993500	86.1	28.3	296.9	8	1.10		
T	2023-12-08 00:23:25.8	49.251435500	-123.237012667	86.2	27.6	296.6	8	1.10		
T	2023-12-08 00:23:26	49.251441333	-123.237032167	86.3	27.4	295.9	8	1.10		
T	2023-12-08 00:23:26.2	49.251446833	-123.237050667	86.3	27.1	295.7	8	1.10		
T	2023-12-08 00:23:26.4	49.251452333	-123.237069333	86.5	26.7	295.5	8	1.10		
T	2023-12-08 00:23:26.6	49.251458167	-123.237087833	86.4	26.9	295.3	9	1.10		
T	2023-12-08 00:23:26.8	49.251463833	-123.237105333	86.4	26.4	295.6	9	1.10		
T	2023-12-08 00:23:27	49.251469667	-123.237121167	86.4	25.4	296.7	9	1.10		
T	2023-12-08 00:23:27.2	49.251474333	-123.237139500	86.3	25.6	295.3	9	1.10		
T	2023-12-08 00:23:27.4	49.251479833	-123.237156833	86.2	25.7	295.0	9	1.10		
T	2023-12-08 00:23:27.6	49.251485833	-123.237172333	86.0	25.0	296.3	9	1.18		
T	2023-12-08 00:23:27.8	49.251490167	-123.237189667	86.0	24.5	294.9	9	1.10		
T	2023-12-08 00:23:28	49.251495000	-123.237207000	85.9	24.7	294.4	9	1.10		
T	2023-12-08 00:23:28.2	49.251500167	-123.237223667	85.9	24.4	294.3	9	1.10		
T	2023-12-08 00:23:28.4	49.251504500	-123.237239833	85.9	23.9	293.9	9	1.09		
T	2023-12-08 00:23:28.6	49.251508667	-123.237257333	85.9	23.9	293.1	9	1.09		
T	2023-12-08 00:23:28.8	49.251511833	-123.237274833	86.3	23.1	291.9	9	1.03		
T	2023-12-08 00:23:29	49.251516167	-123.237291667	86.3	23.2	291.7	9	1.03		
T	2023-12-08 00:23:29.2	49.251521500	-123.237306333	86.1	23.0	293.0	9	1.03		
T	2023-12-08 00:23:29.4	49.251525000	-123.237321833	86.0	22.2	292.8	9	1.03		
T	2023-12-08 00:23:29.6	49.251529833	-123.237336000	86.0	21.6	294.3	9	1.03		
T	2023-12-08 00:23:29.8	49.251534167	-123.237349500	86.2	20.7	295.9	9	1.03		
T	2023-12-08 00:23:30	49.251538500	-123.237363667	86.4	20.2	297.2	9	1.03		
T	2023-12-08 00:23:30.2	49.251542667	-123.237376333	86.6	19.3	298.7	9	1.03		
T	2023-12-08 00:23:30.4	49.251546833	-123.237389333	86.9	18.5	300.3	9	1.03		
T	2023-12-08 00:23:30.6	49.251550833	-123.237402000	87.2	17.6	301.3	9	1.03		
T	2023-12-08 00:23:30.8	49.251555500	-123.237414167	87.3	17.6	303.1	9	1.03		
T	2023-12-08 00:23:31	49.251559833	-123.237424000	87.4	16.1	303.8	9	1.03		
T	2023-12-08 00:23:31.2	49.251564167	-123.237432833	87.4	14.9	304.4	9	1.03		
T	2023-12-08 00:23:31.4	49.251568333	-123.237441167	87.5	13.7	304.6	9	1.03		
T	2023-12-08 00:23:31.6	49.251572167	-123.237449167	87.4	12.7	304.5	9	1.03		
T	2023-12-08 00:23:31.8	49.251576000	-123.237457167	87.5	12.2	304.2	9	1.03		
T	2023-12-08 00:23:32	49.251580167	-123.237465667	87.6	12.3	304.6	9	1.03		
T	2023-12-08 00:23:32.2	49.251583500	-123.237472667	87.6	11.6	304.4	9	1.03		
T	2023-12-08 00:23:32.4	49.251586500	-123.237480333	87.7	11.3	302.9	9	1.03		
T	2023-12-08 00:23:32.6	49.251590167	-123.237487667	87.7	11.3	303.0	9	1.03		
T	2023-12-08 00:23:32.8	49.251593833	-123.237495167	87.7	11.1	304.0	9	1.03		
T	2023-12-08 00:23:33	49.251596833	-123.237502667	87.7	10.9	304.1	9	1.03		
T	2023-12-08 00:23:33.2	49.251599333	-123.237509167	88.0	9.5	304.1	9	1.03		
T	2023-12-08 00:23:33.4	49.251601667	-123.237515167	88.1	8.9	303.4	9	1.03		
T	2023-12-08 00:23:33.6	49.251604000	-123.237520333	88.2	8.4	303.9	9	1.03		
T	2023-12-08 00:23:33.8	49.251606000	-123.237524500	88.2	7.3	304.0	9	1.03		
T	2023-12-08 00:23:34	49.251607667	-123.237528000	88.2	6.2	303.9	9	1.03		
T	2023-12-08 00:23:34.2	49.251609167	-123.237530833	88.2	5.2	304.8	9	1.03		
T	2023-12-08 00:23:34.4	49.251610500	-123.237533333	88.1	4.4	305.6	9	1.03		
T	2023-12-08 00:23:34.6	49.251611667	-123.237535500	88.0	3.8	306.8	9	1.03		
T	2023-12-08 00:23:34.8	49.251612167	-123.237536833	88.0	2.5	307.3	9	1.03		
T	2023-12-08 00:23:35	49.251612667	-123.237538167	88.0	1.9		9	1.03		
T	2023-12-08 00:23:35.2	49.251612833	-123.237538833	88.0	0.9		9	1.03		
T	2023-12-08 00:23:35.4	49.251613167	-123.237540333	88.1	0.6		9	1.03		
T	2023-12-08 00:23:35.6	49.251612500	-123.237541833	88.0	0.4		9	1.03		
T	2023-12-08 00:23:35.8	49.251612333	-123.237542000	88.0	0.4		9	1.03		
T	2023-12-08 00:23:36	49.251612333	-123.237542000	87.8	0.2		9	1.03		
T	2023-12-08 00:23:36.2	49.251612333	-123.237542333	87.7	0.3		9	1.03		
T	2023-12-08 00:23:36.4	49.251611667	-123.237543333	87.8	1.0		9	1.03		
T	2023-12-08 00:23:36.6	49.251610833	-123.237545833	88.1	1.8		9	1.03		
T	2023-12-08 00:23:36.8	49.251609333	-123.237547500	88.3	2.2		9	1.03		
T	2023-12-08 00:23:37	49.251609833	-123.237545667	88.3	0.7		9	1.03		
T	2023-12-08 00:23:37.2	49.251609667	-123.237544167	88.4	1.0		9	1.03		
T	2023-12-08 00:23:37.4	49.251609000	-123.237544167	88.5	0.8		9	1.03		
T	2023-12-08 00:23:37.6	49.251608833	-123.237544500	88.8	0.8		9	1.03		
T	2023-12-08 00:23:37.8	49.251608000	-123.237547500	89.2	1.8		9	1.03		
T	2023-12-08 00:23:38	49.251606333	-123.237549667	89.3	2.5		9	1.03		
T	2023-12-08 00:23:38.2	49.251603333	-123.237556000	89.4	5.3	258.7	9	1.03		
T	2023-12-08 00:23:38.4	49.251609333	-123.237544167	89.6	3.8	309.0	9	1.03		
T	2023-12-08 00:23:38.6	49.251613167	-123.237534333	89.8	8.2	33.3	9	1.03		
T	2023-12-08 00:23:38.8	49.251615167	-123.237531000	90.1	7.5	42.3	9	1.03		
T	2023-12-08 00:23:39	49.251614500	-123.237531333	90.2	4.3	44.8	9	1.03		
T	2023-12-08 00:23:39.2	49.251613167	-123.237532333	90.4	2.1		9	1.03		
T	2023-12-08 00:23:39.4	49.251611833	-123.237534000	90.6	0.7		9	1.03		
T	2023-12-08 00:23:39.6	49.251611167	-123.237532667	90.8	0.5		9	1.03		
T	2023-12-08 00:23:39.8	49.251609833	-123.237530333	90.9	1.1		9	1.03		
T	2023-12-08 00:23:40	49.251608667	-123.237528667	91.1	1.4		9	1.03		
T	2023-12-08 00:23:40.2	49.251607333	-123.237528667	91.3	1.1		9	1.03		
T	2023-12-08 00:23:40.4	49.251606500	-123.237528500	91.5	0.7		9	1.03		
T	2023-12-08 00:23:40.6	49.251606000	-123.237528333	91.6	0.5		9	1.03		
T	2023-12-08 00:23:40.8	49.251605500	-123.237527833	91.7	0.6		9	1.03		
T	2023-12-08 00:23:41	49.251604833	-123.237527500	91.8	0.5		9	1.03		
T	2023-12-08 00:23:41.2	49.251604000	-123.237527500	91.8	0.1		9	1.03		
T	2023-12-08 00:23:41.4	49.251603500	-123.237526333	91.8	0.5		9	1.03		
T	2023-12-08 00:23:41.6	49.251603000	-123.237524667	91.8	1.3		9	1.03		
T	2023-12-08 00:23:41.8	49.251602333	-123.237524500	91.8	0.7		9	1.03		
T	2023-12-08 00:23:42	49.251601833	-123.237524667	91.8	0.7		9	1.03		
T	2023-12-08 00:23:48	49.251601667	-123.237617167	94.7	12.8	279.1	9	1.03		
T	2023-12-08 00:23:48.2	49.251602500	-123.237627833	94.8	13.4	278.6	9	1.03		
T	2023-12-08 00:23:48.4	49.251604000	-123.237639667	94.9	14.6	279.8	9	1.03		
T	2023-12-08 00:23:48.6	49.251606833	-123.237652833	94.9	16.5	283.3	9	1.03		
T	2023-12-08 00:23:48.8	49.251610000	-123.237666000	94.8	17.7	287.4	9	1.03		
T	2023-12-08 00:23:49	49.251612500	-123.237680333	94.8	18.5	287.9	9	1.03		
T	2023-12-08 00:23:49.2	49.251616167	-123.237693667	94.8	18.9	290.3	9	1.03		
T	2023-12-08 00:23:49.4	49.251618667	-123.237707167	94.9	18.7	289.4	9	1.03		
T	2023-12-08 00:23:49.6	49.251622167	-123.237721000	95.0	19.1	289.2	9	1.03		
T	2023-12-08 00:23:49.8	49.251625833	-123.237736000	95.3	20.0	288.9	9	1.03		
T	2023-12-08 00:23:50	49.251629000	-123.237751833	95.6	20.6	288.1	9	1.03		
T	2023-12-08 00:23:50.2	49.251631833	-123.237766500	96.0	20.2	287.2	9	1.03		
T	2023-12-08 00:23:50.4	49.251634667	-123.237779667	96.4	19.0	287.1	9	1.03		
T	2023-12-08 00:23:50.6	49.251638333	-123.237796333	96.8	20.6	287.6	9	1.37		
T	2023-12-08 00:23:50.8	49.251642667	-123.237815833	97.1	23.2	288.3	9	1.37		
T	2023-12-08 00:23:51	49.251647167	-123.237835333	97.4	24.9	288.9	9	1.87		
T	2023-12-08 00:23:51.2	49.251652667	-123.237854667	97.8	26.1	290.4	9	1.87		
T	2023-12-08 00:23:51.4	49.251658333	-123.237874167	98.0	26.8	291.6	9	1.87		
T	2023-12-08 00:23:51.6	49.251664500	-123.237895833	98.2	28.5	293.1	9	1.87		
T	2023-12-08 00:23:51.8	49.251670667	-123.237918667	98.4	30.1	293.1	9	1.87		
T	2023-12-08 00:23:52	49.251677167	-123.237942500	98.5	31.5	292.9	9	1.87		
T	2023-12-08 00:23:52.2	49.251683500	-123.237965833	98.6	32.0	292.8	9	1.87		
T	2023-12-08 00:23:52.4	49.251688833	-123.237990167	98.7	32.4	291.3	9	1.87		
T	2023-12-08 00:23:52.6	49.251695833	-123.238015167	98.9	33.4	291.4	9	1.10		
T	2023-12-08 00:23:52.8	49.251703833	-123.238039000	98.9	33.9	293.3	9	1.87		
T	2023-12-08 00:23:53	49.251712500	-123.238063333	99.0	34.4	294.9	9	1.87		
T	2023-12-08 00:23:53.2	49.251722667	-123.238088667	99.2	36.0	296.6	9	1.10		
T	2023-12-08 00:23:53.4	49.251731833	-123.238113000	99.4	35.8	297.9	9	1.87		
T	2023-12-08 00:23:53.6	49.251742167	-123.238136167	99.5	35.8	299.3	9	1.10		
T	2023-12-08 00:23:53.8	49.251750833	-123.238161833	99.5	36.5	297.9	9	1.10		
T	2023-12-08 00:23:54	49.251760167	-123.238186667	99.4	36.5	297.9	9	1.10		
T	2023-12-08 00:23:54.2	49.251769667	-123.238212000	99.3	36.8	297.7	9	1.10		
T	2023-12-08 00:23:54.4	49.251778500	-123.238237500	99.2	36.6	297.3	9	1.10		
T	2023-12-08 00:23:54.6	49.251788000	-123.238263167	99.2	37.0	298.6	9	1.46		
T	2023-12-08 00:23:54.8	49.251797500	-123.238288833	99.3	37.2	299.0	8	1.46		
T	2023-12-08 00:23:55	49.251807000	-123.238314333	99.2	37.0	299.3	9	1.46		
T	2023-12-08 00:23:55.2	49.251816333	-123.238340333	99.2	37.3	299.3	9	1.10		
T	2023-12-08 00:23:55.4	49.251825667	-123.238366333	99.1	37.5	299.2	9	1.10		
T	2023-12-08 00:23:55.6	49.251835500	-123.238392500	99.1	37.8	299.7	9	1.10		
T	2023-12-08 00:23:55.8	49.251844333	-123.238419000	99.1	37.6	298.1	9	1.10		
T	2023-12-08 00:23:56	49.251853667	-123.238445333	99.0	37.9	298.3	9	1.10		
T	2023-12-08 00:23:56.2	49.251863500	-123.238471833	98.9	38.4	299.0	9	1.10		
T	2023-12-08 00:23:56.4	49.251872500	-123.238498667	98.8	38.5	298.3	9	1.10		
T	2023-12-08 00:23:56.6	49.251881333	-123.238525500	98.7	38.3	297.8	9	1.10		
T	2023-12-08 00:23:56.8	49.251890000	-123.238552667	98.7	38.5	296.8	9	1.10		
T	2023-12-08 00:23:57	49.251898667	-123.238578667	98.8	38.0	297.0	9	1.10		
T	2023-12-08 00:23:57.2	49.251907667	-123.238604500	98.9	38.0	297.6	9	1.10		
T	2023-12-08 00:23:57.4	49.251916167	-123.238630667	99.0	38.0	297.2	9	1.10		
T	2023-12-08 00:23:57.6	49.251924333	-123.238656167	99.0	37.5	297.1	9	1.10		
T	2023-12-08 00:23:57.8	49.251932667	-123.238681167	99.1	36.9	297.3	9	1.10		
T	2023-12-08 00:23:58	49.251941500	-123.238706167	99.1	36.8	298.1	9	1.10		
T	2023-12-08 00:24:07	49.252518833	-123.239617500	98.9	41.4	325.4	9	1.51		
T	2023-12-08 00:24:07.2	49.252536500	-123.239634833	99.0	41.5	326.3	8	1.51		
T	2023-12-08 00:24:07.4	49.252554333	-123.239651500	98.9	41.2	327.2	8	1.51		
T	2023-12-08 00:24:07.6	49.252572500	-123.239670667	98.8	42.2	326.5	8	1.51		
T	2023-12-08 00:24:07.8	49.252588000	-123.239688833	99.0	40.8	324.1	8	1.51		
T	2023-12-08 00:24:08	49.252602333	-123.239703000	99.6	38.5	324.1	8	1.51		
T	2023-12-08 00:24:08.2	49.252614667	-123.239708167	99.9	34.3	328.4	8	1.51		
T	2023-12-08 00:24:08.4	49.252625833	-123.239717167	100.1	31.7	328.7	9	1.10		
T	2023-12-08 00:24:08.6	49.252643667	-123.239734833	100.1	34.6	328.6	9	1.10		
T	2023-12-08 00:24:08.8	49.252662167	-123.239756500	99.9	37.5	327.1	9	1.10		
T	2023-12-08 00:24:09	49.252677333	-123.239783000	99.3	38.8	321.8	9	1.10		
T	2023-12-08 00:24:09.2	49.252693333	-123.239802833	99.0	39.0	322.4	9	1.10		
T	2023-12-08 00:24:09.4	49.252711000	-123.239822000	98.8	40.1	324.0	9	1.10		
T	2023-12-08 00:24:09.6	49.252729167	-123.239841000	98.7	41.1	325.3	9	1.10		
T	2023-12-08 00:24:09.8	49.252746667	-123.239858833	98.4	41.2	326.4	9	1.10		
T	2023-12-08 00:24:10	49.252764833	-123.239874833	98.4	41.2	327.9	9	1.10		
T	2023-12-08 00:24:10.2	49.252782167	-123.239890333	98.5	40.6	328.4	9	1.10		
T	2023-12-08 00:24:10.4	49.252799333	-123.239905333	98.7	39.8	328.8	9	1.10		
T	2023-12-08 00:24:10.6	49.252816667	-123.239919000	98.8	39.1	330.3	9	1.10		
T	2023-12-08 00:24:10.8	49.252832167	-123.239932167	99.3	37.5	330.2	9	1.10		
T	2023-12-08 00:24:11	49.252846833	-123.239944500	99.6	36.0	330.3	9	1.10		
T	2023-12-08 00:24:11.2	49.252861333	-123.239958000	99.9	34.9	329.6	9	1.10		
T	2023-12-08 00:24:11.4	49.252875833	-123.239971167	100.4	34.5	329.3	9	1.10		
T	2023-12-08 00:24:11.6	49.252889833	-123.239984833	100.9	33.9	328.6	9	1.10		
T	2023-12-08 00:24:11.8	49.252904833	-123.239998167	101.2	34.0	329.0	9	1.10		
T	2023-12-08 00:24:12	49.252919667	-123.240011000	101.5	33.8	329.7	9	1.10		
T	2023-12-08 00:24:14.4	49.253097167	-123.240187000	104.5	33.3	328.2	9	1.10		
T	2023-12-08 00:24:14.6	49.253111333	-123.240202167	104.7	32.9	326.6	9	1.10		
T	2023-12-08 00:24:14.8	49.253125167	-123.240217333	104.9	32.4	326.1	9	1.10		
T	2023-12-08 00:24:15	49.253139000	-123.240233333	105.0	32.0	325.3	9	1.10		
T	2023-12-08 00:24:15.2	49.253154333	-123.240248500	104.8	32.0	326.2	9	1.10		
T	2023-12-08 00:24:15.4	49.253170000	-123.240263167	104.6	32.1	327.5	9	1.10		
T	2023-12-08 00:24:15.6	49.253185167	-123.240276500	104.1	31.9	327.5	9	1.10		
T	2023-12-08 00:24:15.8	49.253200167	-123.240289833	103.9	32.0	327.6	9	1.10		
T	2023-12-08 00:24:16	49.253216167	-123.240303833	103.6	32.4	328.4	9	1.10		
T	2023-12-08 00:24:16.2	49.253232500	-123.240318833	103.2	33.0	328.4	9	1.10		
T	2023-12-08 00:24:16.4	49.253247667	-123.240332333	102.7	32.6	328.9	9	1.10		
T	2023-12-08 00:24:16.6	49.253263500	-123.240345667	102.5	33.0	329.5	9	1.10		
T	2023-12-08 00:24:16.8	49.253279333	-123.240360500	102.3	33.3	328.9	9	1.10		
T	2023-12-08 00:24:17	49.253295833	-123.240374500	102.2	33.7	329.9	9	1.10		
T	2023-12-08 00:24:17.2	49.253313000	-123.240388833	101.8	34.5	330.2	9	1.10		
T	2023-12-08 00:24:17.4	49.253330000	-123.240403833	101.4	34.8	330.3	9	1.10		
T	2023-12-08 00:24:17.6	49.253346333	-123.240418333	101.1	34.8	330.2	9	1.10		
T	2023-12-08 00:24:17.8	49.253362667	-123.240432500	100.7	34.6	330.1	9	1.10		
T	2023-12-08 00:24:18	49.253379167	-123.240446333	100.4	35.0	330.1	9	1.10		
T	2023-12-08 00:24:18.2	49.253394667	-123.240462000	100.6	35.1	329.0	9	1.10		
T	2023-12-08 00:24:18.4	49.253409333	-123.240477333	101.1	34.5	328.2	9	1.10		
T	2023-12-08 00:24:18.6	49.253423833	-123.240491500	101.2	34.2	327.6	9	1.10		
T	2023-12-08 00:24:18.8	49.253439167	-123.240505000	101.3	34.1	328.2	9	1.10		
T	2023-12-08 00:24:19	49.253454667	-123.240519167	101.4	34.2	328.7	9	1.10		
T	2023-12-08 00:24:19.2	49.253469333	-123.240534667	101.6	34.1	327.5	9	1.10		
T	2023-12-08 00:24:19.4	49.253484000	-123.240549833	102.0	34.1	327.6	9	1.10		
T	2023-12-08 00:24:19.6	49.253498833	-123.240563667	102.4	33.9	328.7	9	1.10		
T	2023-12-08 00:24:19.8	49.253512833	-123.240578000	102.6	33.6	328.3	9	1.10		
T	2023-12-08 00:24:20	49.253526667	-123.240592500	103.1	33.3	327.6	9	1.10		
T	2023-12-08 00:24:20.2	49.253541000	-123.240606167	103.3	33.0	327.6	9	1.10		
T	2023-12-08 00:24:20.4	49.253555333	-123.240620000	103.3	32.8	327.2	9	1.10		
T	2023-12-08 00:24:20.6	49.253570500	-123.240632833	103.3	32.7	327.9	9	1.10		
T	2023-12-08 00:24:20.8	49.253586667	-123.240645667	103.0	32.9	329.3	9	1.10		
T	2023-12-08 00:24:21	49.253602833	-123.240658167	102.9	32.8	330.1	9	1.10		
T	2023-12-08 00:24:21.2	49.253618000	-123.240670667	102.7	32.5	330.5	9	1.10		
T	2023-12-08 00:24:21.4	49.253634000	-123.240682333	102.2	32.5	331.5	9	1.10		
T	2023-12-08 00:24:21.6	49.253650167	-123.240692333	101.7	32.3	333.7	9	1.10		
T	2023-12-08 00:24:21.8	49.253665833	-123.240702833	101.1	31.5	333.5	9	1.10		
T	2023-12-08 00:24:22	49.253680500	-123.240713500	100.5	30.4	333.1	9	1.10		
T	2023-12-08 00:24:22.2	49.253695000	-123.240723833	100.2	29.6	333.6	9	1.10		
T	2023-12-08 00:24:22.4	49.253708667	-123.240734333	99.9	28.6	332.9	9	1.10		
T	2023-12-08 00:24:22.6	49.253721333	-123.240744667	99.8	27.9	332.4	9	1.10		
T	2023-12-08 00:24:22.8	49.253733333	-123.240753833	99.7	26.9	332.6	9	1.10		
T	2023-12-08 00:24:23	49.253744500	-123.240762167	99.6	25.7	332.6	9	1.10		
T	2023-12-08 00:24:23.2	49.253756167	-123.240770000	99.3	24.9	333.1	9	1.10		
T	2023-12-08 00:24:23.4	49.253767000	-123.240776333	99.0	23.7	333.8	9	1.10		
T	2023-12-08 00:24:23.6	49.253777833	-123.240782667	98.8	23.0	334.3	8	1.10		
T	2023-12-08 00:24:23.8	49.253788667	-123.240789167	98.6	22.2	334.6	8	1.10		
T	2023-12-08 00:24:24	49.253798667	-123.240795167	98.6	21.5	334.6	8	1.10		
T	2023-12-08 00:24:24.2	49.253807167	-123.240800500	98.6	19.5	335.4	8	1.10		
T	2023-12-08 00:24:24.4	49.253815667	-123.240805500	98.5	18.5	336.1	8	1.10		
T	2023-12-08 00:25:59.8	49.259852333	-123.245707333	114.0	0.4		11	1.11		
T	2023-12-08 00:26:00	49.259852500	-123.245706167	113.9	0.4		11	1.11		
T	2023-12-08 00:26:00.2	49.259852667	-123.245705667	113.8	0.4		11	1.11		
T	2023-12-08 00:26:00.4	49.259852667	-123.245705167	113.8	0.5		11	1.11		
T	2023-12-08 00:26:00.6	49.259852833	-123.245704000	113.7	0.4		11	1.11		
T	2023-12-08 00:26:00.8	49.259852667	-123.245704000	113.7	0.5		11	1.11		
T	2023-12-08 00:26:01	49.259852333	-123.245703667	113.7	0.6		11	1.11		
T	2023-12-08 00:26:01.2	49.259852500	-123.245702667	113.6	0.3		11	1.11		
T	2023-12-08 00:26:01.4	49.259852500	-123.245701500	113.5	0.3		11	1.11		
T	2023-12-08 00:26:01.6	49.259852833	-123.245700500	113.4	0.1		11	1.11		
T	2023-12-08 00:26:01.8	49.259853000	-123.245699667	113.3	0.2		11	1.11		
T	2023-12-08 00:26:02	49.259853500	-123.245698500	113.2	0.1		11	1.11		
T	2023-12-08 00:26:02.2	49.259853667	-123.245697500	113.1	0.3		10	1.11		
T	2023-12-08 00:26:02.4	49.259853833	-123.245696333	113.0	0.2		10	1.11		
T	2023-12-08 00:26:02.6	49.259854333	-123.245694667	112.8	0.2		10	1.11		
T	2023-12-08 00:26:02.8	49.259854833	-123.245693167	112.6	0.2		10	1.11		
T	2023-12-08 00:26:03	49.259855500	-123.245691500	112.4	0.1		10	1.11		
T	2023-12-08 00:26:03.2	49.259856000	-123.245690167	112.2	0.3		10	1.11		
T	2023-12-08 00:26:03.4	49.259856667	-123.245688833	112.0	0.3		10	1.11		
T	2023-12-08 00:26:03.6	49.259857000	-123.245687333	111.9	0.2		10	1.11		
T	2023-12-08 00:26:03.8	49.259857500	-123.245685833	111.8	0.4		10	1.11		
T	2023-12-08 00:26:04	49.259858000	-123.245684167	111.6	0.1		10	1.11		
T	2023-12-08 00:26:04.2	49.259858167	-123.245682167	111.4	0.1		9	1.11		
T	2023-12-08 00:26:04.4	49.259858333	-123.245679500	111.2	0.2		9	1.11		
T	2023-12-08 00:26:04.6	49.259858500	-123.245677333	111.0	0.4		9	1.11		
T	2023-12-08 00:26:04.8	49.259858833	-123.245675333	110.9	0.2		9	1.11		
T	2023-12-08 00:26:05	49.259859333	-123.245673167	110.6	0.1		9	1.11		
T	2023-12-08 00:26:05.2	49.259859667	-123.245670667	110.4	0.1		9	1.11		
T	2023-12-08 00:26:05.4	49.259860000	-123.245668667	110.2	0.1		9	1.11		
T	2023-12-08 00:26:05.6	49.259860333	-123.245666667	110.0	0.1		9	1.11		
T	2023-12-08 00:26:05.8	49.259860667	-123.245665000	109.8	0.1		9	1.11		
T	2023-12-08 00:26:06	49.259860833	-123.245663333	109.7	0.1		9	1.11		
T	2023-12-08 00:26:06.2	49.259861333	-123.245661833	109.5	0.1		9	1.11		
T	2023-12-08 00:26:06.4	49.259861667	-123.245660167	109.3	0.1		9	1.11		
T	2023-12-08 00:26:06.6	49.259862167	-123.245658167	109.1	0.1		9	1.11		
T	2023-12-08 00:26:06.8	49.259862667	-123.245656500	108.9	0.1		9	1.11		
T	2023-12-08 00:26:07	49.259863167	-123.245655333	108.8	0.0		9	1.11		
T	2023-12-08 00:26:07.2	49.259863333	-123.245653833	108.6	0.1		9	1.11		
T	2023-12-08 00:26:07.4	49.259863500	-123.245652167	108.5	0.1		8	1.15		
T	2023-12-08 00:26:07.6	49.259863500	-123.245650667	108.4	0.3		8	1.15		
T	2023-12-08 00:26:07.8	49.259863833	-123.245649167	108.3	0.3		8	1.15		
T	2023-12-08 00:26:08	49.259864000	-123.245647500	108.2	0.3		8	1.15		
T	2023-12-08 00:26:08.2	49.259864333	-123.245646333	108.1	0.1		8	1.15		
T	2023-12-08 00:26:08.4	49.259864500	-123.245645167	108.0	0.1		8	1.15		
T	2023-12-08 00:26:08.6	49.259864667	-123.245643833	107.9	0.2		8	1.15		
T	2023-12-08 00:26:08.8	49.259864667	-123.245642667	107.8	0.2		8	1.15		
T	2023-12-08 00:26:09	49.259864667	-123.245641667	107.8	0.2		8	1.15		
T	2023-12-08 00:26:09.2	49.259864667	-123.245640333	107.8	0.2		8	1.15		
T	2023-12-08 00:26:09.4	49.259864667	-123.245639333	107.7	0.1		8	1.15		
T	2023-12-08 00:26:09.6	49.259864833	-123.245638167	107.6	0.1		8	1.15		
T	2023-12-08 00:26:09.8	49.259865667	-123.245637167	107.4	0.4		8	1.15		
T	2023-12-08 00:26:10	49.259866000	-123.245636167	107.3	0.3		8	1.15		
T	2023-12-08 00:26:10.2	49.259866167	-123.245635167	107.2	0.2		8	1.15		
T	2023-12-08 00:26:10.4	49.259866333	-123.245634167	107.2	0.1		9	1.15		
T	2023-12-08 00:26:10.6	49.259866333	-123.245633167	107.2	0.1		9	1.15		
T	2023-12-08 00:26:10.8	49.259866333	-123.245632333	107.1	0.1		9	1.15		
T	2023-12-08 00:26:11	49.259866500	-123.245631333	107.1	0.1		9	1.15		
T	2023-12-08 00:26:11.2	49.259866500	-123.245630500	107.1	0.1		9	1.15		
T	2023-12-08 00:26:11.4	49.259866500	-123.245629667	107.1	0.1		9	1.15		
T	2023-12-08 00:26:11.6	49.259866667	-123.245628833	107.0	0.0		9	1.15		
T	2023-12-08 00:26:11.8	49.259866667	-123.245628167	107.0	0.1		9	1.15		
T	2023-12-08 00:26:12	49.259866667	-123.245627333	107.0	0.2		9	1.15		
T	2023-12-08 00:26:12.2	49.259866500	-123.245626500	107.1	0.3		9	1.15		
T	2023-12-08 00:26:12.4	49.259866500	-123.245625833	107.1	0.2		9	1.15		
T	2023-12-08 00:26:12.6	49.259866500	-123.245625167	107.1	0.2		9	1.15		
T	2023-12-08 00:26:12.8	49.259866500	-123.245624333	107.1	0.3		9	1.15		
